#SITE	SITE_LOG_LIKELIHOODS
1	-3.42079560642481
2	-12.71874600941407
3	-50.77697263549941
4	-31.42629788837885
5	-6.759281153150261
6	-6.312703707469167
7	-4.8663529013926
8	-20.32803417084418
9	-32.89632795423524
10	-27.92893094326764
11	-5.105314806418777
12	-21.57944352782463
13	-3.42079560642481
14	-24.10320961114441
15	-5.545696723976048
16	-15.14082661281055
17	-50.0929407064646
18	-52.30437066935043
19	-6.221540130044366
20	-55.73061379061035
21	-25.64364982354343
22	-18.11448890622615
23	-12.43099731517328
24	-35.50518768080323
25	-15.73186370670805
26	-41.39981595997636
27	-14.40157380852862
28	-29.76588594081464
29	-56.34759596333196
30	-28.78889447044117
31	-54.02854978848508
32	-3.42079560642481
33	-38.79320295508187
34	-68.06874511765781
35	-11.92410366800734
36	-18.53509834441462
37	-37.80041271025185
38	-19.65601884663681
39	-5.365543376030565
40	-5.910505471301653
41	-25.50651973414694
42	-5.284221026578339
43	-3.42079560642481
44	-17.5884709540416
45	-26.92126831209989
46	-23.13462761973602
47	-35.35683176041818
48	-11.69857032323531
49	-19.8391315476537
50	-30.6185678986954
51	-11.4029754173996
52	-34.8590215902915
53	-10.94720280423819
54	-34.79383945879228
55	-70.86086008347081
56	-29.80321333855961
57	-17.20629874851394
58	-34.27838412647301
59	-12.1783781045905
60	-12.34306912022162
61	-38.33493608208685
62	-5.624650298377806
63	-14.5892651295394
64	-22.81741475557762
65	-25.73281543713792
66	-3.42079560642481
67	-41.0619706705612
68	-21.26143398400664
69	-5.728247464884688
70	-42.90042432931284
71	-5.959304841467801
72	-28.02150549081219
73	-36.77215040531652
74	-21.33077803318252
75	-25.9460553640886
76	-39.30907688022132
77	-26.96906855975424
78	-20.01551561055849
79	-32.31584626379711
80	-16.81395192695677
81	-16.4600404925696
82	-18.09700056386121
83	-20.15788007010972
84	-43.36516079510986
85	-73.11594358927084
86	-29.28641493116072
87	-26.43829489696983
88	-28.07206215277877
89	-23.12003418604446
90	-12.52878425987068
91	-10.58261764524835
92	-24.62084792392747
93	-15.16735205559956
94	-33.94646369748
95	-19.80697126303777
96	-12.56600975955723
97	-5.910505471301653
98	-71.0778182591081
99	-11.69358948137537
100	-50.0523039894745
101	-122.5243752526294
102	-100.1101396418572
103	-63.1327579763659
104	-4.602224902149133
105	-64.35702139049916
106	-16.57004670620832
107	-47.68014999439533
108	-12.30792944146334
109	-42.51674160885418
110	-11.36816261353446
111	-11.80356831566796
112	-10.77371560223764
113	-11.2894165231283
114	-19.50374452797521
115	-5.105314806418777
116	-5.060396485020372
117	-29.30267079543425
118	-49.63607021331931
119	-15.75708145389355
120	-4.602224902149133
121	-26.36019479741575
122	-17.39786780160622
123	-17.34941278828456
124	-26.74673021653275
125	-10.80471718213225
126	-13.00825116439091
127	-50.71607936008603
128	-12.77532531958049
129	-55.13961766540026
130	-36.61407338783105
131	-51.66242901785146
132	-39.59218275958997
133	-37.18254355666078
134	-21.80507384931822
135	-6.242012692893876
136	-64.21030502846592
137	-3.42079560642481
138	-11.3834955341362
139	-4.602224902149133
140	-21.89239139652861
141	-29.74367245973837
142	-10.49236578558084
143	-26.35746378030817
144	-5.402016242060656
145	-22.54543521276396
146	-59.27669260795673
147	-24.48006867921795
148	-34.72243159818773
149	-11.61695508748995
150	-36.72127784608355
151	-13.22215900419374
152	-7.418697708062822
153	-5.434754443135371
154	-20.3874369215205
155	-40.50907285044187
156	-29.70121390123463
157	-55.5832059358284
158	-50.22671046781402
159	-3.42079560642481
160	-15.46422115055278
161	-12.90285298516279
